document_id,dominant_topic,dominant_probability,topic_distribution,token_count
elsevier_paper_1493,2,0.698494,"{""0"": 0.279858, ""1"": 5.5e-05, ""2"": 0.698494, ""3"": 0.021593}",1743
elsevier_paper_1497,0,0.944871,"{""0"": 0.944871, ""1"": 0.055028, ""2"": 6.4e-05, ""3"": 3.7e-05}",391
elsevier_paper_1498,0,0.832102,"{""0"": 0.832102, ""1"": 0.167729, ""2"": 0.000108, ""3"": 6.2e-05}",258
elsevier_paper_1499,0,0.999628,"{""0"": 0.999628, ""1"": 0.000242, ""2"": 8.2e-05, ""3"": 4.7e-05}",316
elsevier_paper_150,0,0.926774,"{""0"": 0.926774, ""1"": 0.073118, ""2"": 6.8e-05, ""3"": 3.9e-05}",375
elsevier_paper_1500,3,0.844776,"{""0"": 0.000358, ""1"": 0.122798, ""2"": 0.032067, ""3"": 0.844776}",5733
elsevier_paper_1513,0,0.999714,"{""0"": 0.999714, ""1"": 0.000186, ""2"": 6.3e-05, ""3"": 3.6e-05}",416
elsevier_paper_1514,0,0.853944,"{""0"": 0.853944, ""1"": 0.129078, ""2"": 0.016945, ""3"": 3.3e-05}",445
elsevier_paper_1515,0,0.910404,"{""0"": 0.910404, ""1"": 0.089472, ""2"": 7.9e-05, ""3"": 4.5e-05}",323
elsevier_paper_152,0,0.999757,"{""0"": 0.999757, ""1"": 0.000158, ""2"": 5.4e-05, ""3"": 3.1e-05}",495
elsevier_paper_1521,0,0.714248,"{""0"": 0.714248, ""1"": 0.244926, ""2"": 5.1e-05, ""3"": 0.040775}",535
elsevier_paper_1523,0,0.999656,"{""0"": 0.999656, ""1"": 0.000224, ""2"": 7.6e-05, ""3"": 4.4e-05}",380
elsevier_paper_1524,0,0.615373,"{""0"": 0.615373, ""1"": 0.381938, ""2"": 0.002683, ""3"": 6e-06}",2676
elsevier_paper_1526,0,0.999669,"{""0"": 0.999669, ""1"": 0.000216, ""2"": 7.3e-05, ""3"": 4.2e-05}",1696
elsevier_paper_1529,0,0.775125,"{""0"": 0.775125, ""1"": 0.200634, ""2"": 0.02421, ""3"": 3.1e-05}",460
elsevier_paper_1530,2,0.999641,"{""0"": 0.000339, ""1"": 1.7e-05, ""2"": 0.999641, ""3"": 3e-06}",4972
elsevier_paper_1539,0,0.999577,"{""0"": 0.999577, ""1"": 0.000275, ""2"": 9.4e-05, ""3"": 5.4e-05}",280
elsevier_paper_1540,0,0.883222,"{""0"": 0.883222, ""1"": 0.116688, ""2"": 5.7e-05, ""3"": 3.3e-05}",449
elsevier_paper_1543,0,0.904555,"{""0"": 0.904555, ""1"": 0.057514, ""2"": 0.0379, ""3"": 3.1e-05}",470
elsevier_paper_1551,0,0.956884,"{""0"": 0.956884, ""1"": 0.043001, ""2"": 7.3e-05, ""3"": 4.2e-05}",369
elsevier_paper_1552,0,0.999658,"{""0"": 0.999658, ""1"": 0.000223, ""2"": 7.6e-05, ""3"": 4.4e-05}",372
elsevier_paper_1558,0,0.999685,"{""0"": 0.999685, ""1"": 0.000205, ""2"": 7e-05, ""3"": 4e-05}",396
elsevier_paper_1562,0,0.999535,"{""0"": 0.999535, ""1"": 0.000303, ""2"": 0.000103, ""3"": 5.9e-05}",254
elsevier_paper_1567,0,0.848916,"{""0"": 0.848916, ""1"": 0.150995, ""2"": 5.7e-05, ""3"": 3.3e-05}",444
elsevier_paper_1568,2,0.463773,"{""0"": 0.157395, ""1"": 0.198856, ""2"": 0.463773, ""3"": 0.179976}",4476
elsevier_paper_1572,0,0.999643,"{""0"": 0.999643, ""1"": 0.000232, ""2"": 7.9e-05, ""3"": 4.5e-05}",359
elsevier_paper_1578,0,0.943586,"{""0"": 0.943586, ""1"": 0.056327, ""2"": 5.6e-05, ""3"": 3.2e-05}",463
elsevier_paper_1579,0,0.752091,"{""0"": 0.752091, ""1"": 0.2478, ""2"": 6.9e-05, ""3"": 3.9e-05}",381
elsevier_paper_1583,0,0.999766,"{""0"": 0.999766, ""1"": 0.000153, ""2"": 5.2e-05, ""3"": 3e-05}",494
elsevier_paper_1584,3,0.966492,"{""0"": 0.001242, ""1"": 1.3e-05, ""2"": 0.032254, ""3"": 0.966492}",6786
elsevier_paper_1585,0,0.992338,"{""0"": 0.992338, ""1"": 0.007577, ""2"": 5.4e-05, ""3"": 3.1e-05}",443
elsevier_paper_1586,0,0.852278,"{""0"": 0.852278, ""1"": 0.055021, ""2"": 6.8e-05, ""3"": 0.092633}",383
elsevier_paper_1587,0,0.999632,"{""0"": 0.999632, ""1"": 0.000239, ""2"": 8.1e-05, ""3"": 4.7e-05}",317
elsevier_paper_1593,1,0.545317,"{""0"": 0.213481, ""1"": 0.545317, ""2"": 0.241199, ""3"": 3e-06}",6299
elsevier_paper_1598,3,0.999703,"{""0"": 0.000286, ""1"": 9e-06, ""2"": 3e-06, ""3"": 0.999703}",7395
elsevier_paper_1599,0,0.874735,"{""0"": 0.874735, ""1"": 0.060937, ""2"": 0.064291, ""3"": 3.7e-05}",390
elsevier_paper_1601,0,0.931893,"{""0"": 0.931893, ""1"": 0.061938, ""2"": 0.006102, ""3"": 6.6e-05}",223
elsevier_paper_1614,0,0.999703,"{""0"": 0.999703, ""1"": 0.000193, ""2"": 6.6e-05, ""3"": 3.8e-05}",372
elsevier_paper_1624,0,0.795893,"{""0"": 0.795893, ""1"": 0.197793, ""2"": 0.006265, ""3"": 4.9e-05}",313
elsevier_paper_1628,2,0.694258,"{""0"": 0.236417, ""1"": 0.069316, ""2"": 0.694258, ""3"": 1e-05}",1930
elsevier_paper_1635,0,0.980074,"{""0"": 0.980074, ""1"": 0.019843, ""2"": 5.3e-05, ""3"": 3e-05}",463
elsevier_paper_1637,0,0.986771,"{""0"": 0.986771, ""1"": 0.000225, ""2"": 7.7e-05, ""3"": 0.012927}",354
elsevier_paper_164,0,0.802301,"{""0"": 0.802301, ""1"": 0.197603, ""2"": 6.1e-05, ""3"": 3.5e-05}",434
elsevier_paper_1645,0,0.902722,"{""0"": 0.902722, ""1"": 0.026258, ""2"": 0.070985, ""3"": 3.6e-05}",435
elsevier_paper_1673,3,0.603195,"{""0"": 0.140457, ""1"": 0.190766, ""2"": 0.065581, ""3"": 0.603195}",3514
elsevier_paper_1674,3,0.999715,"{""0"": 0.000273, ""1"": 9e-06, ""2"": 3e-06, ""3"": 0.999715}",6993
elsevier_paper_1683,0,0.829779,"{""0"": 0.829779, ""1"": 0.170099, ""2"": 7.8e-05, ""3"": 4.5e-05}",341
elsevier_paper_1689,3,0.877309,"{""0"": 0.000414, ""1"": 0.109935, ""2"": 0.012342, ""3"": 0.877309}",6581
elsevier_paper_169,0,0.810949,"{""0"": 0.810949, ""1"": 0.188982, ""2"": 4.4e-05, ""3"": 2.5e-05}",572
elsevier_paper_1691,0,0.672791,"{""0"": 0.672791, ""1"": 0.327122, ""2"": 5.5e-05, ""3"": 3.2e-05}",466
elsevier_paper_1693,2,0.540179,"{""0"": 0.027651, ""1"": 0.072977, ""2"": 0.540179, ""3"": 0.359193}",3410
elsevier_paper_1694,0,0.999659,"{""0"": 0.999659, ""1"": 0.000222, ""2"": 7.5e-05, ""3"": 4.3e-05}",333
elsevier_paper_1695,2,0.75497,"{""0"": 0.121457, ""1"": 0.113835, ""2"": 0.75497, ""3"": 0.009738}",4258
elsevier_paper_17,0,0.999747,"{""0"": 0.999747, ""1"": 0.000165, ""2"": 5.6e-05, ""3"": 3.2e-05}",457
elsevier_paper_170,0,0.954472,"{""0"": 0.954472, ""1"": 0.045467, ""2"": 3.9e-05, ""3"": 2.3e-05}",602
elsevier_paper_1702,0,0.845061,"{""0"": 0.845061, ""1"": 0.033964, ""2"": 0.012628, ""3"": 0.108348}",423
elsevier_paper_1707,0,0.95853,"{""0"": 0.95853, ""1"": 0.041344, ""2"": 8.1e-05, ""3"": 4.6e-05}",302
elsevier_paper_1711,0,0.585064,"{""0"": 0.585064, ""1"": 0.051644, ""2"": 0.008991, ""3"": 0.354302}",5037
elsevier_paper_1715,0,0.92171,"{""0"": 0.92171, ""1"": 0.07818, ""2"": 7e-05, ""3"": 4e-05}",406
